catalogue_id,"title (scientificname orcommon name)",class,family,genus,species
ZMB_Aves_1026,"Falco peregrinusperegrinus",Aves,Falconidae,Falco,Falco peregrinus
ZMB_Aves_1026,"Falco peregrinusperegrinus",Aves,Falconidae,Falco,Falco peregrinus
ZMB_Aves_1027,"Falco peregrinusanatum",Aves,Falconidae,Falco,Falco peregrinus
ZMB_Aves_1027,"Falco peregrinusanatum",Aves,Falconidae,Falco,Falco peregrinus
ZMB_Aves_1029,"Falco biarmicusfeldeggii",Aves,Falconidae,Falco,Falco biarmicus
ZMB_Aves_1029,"Falco biarmicusfeldeggii",Aves,Falconidae,Falco,Falco biarmicus
ZMB_Aves_103,"Aythya marilamarila",Aves,Anatidae,Aythya,Aythya marila
ZMB_Aves_103,"Aythya marilamarila",Aves,Anatidae,Aythya,Aythya marila
ZMB_Aves_1030,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1030,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1031,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1031,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1032,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1032,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1033,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1033,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1034,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1034,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1035,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1035,"Falco cherrugcherrug",Aves,Falconidae,Falco,Falco cherrug
ZMB_Aves_1038,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1038,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1039,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1039,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1040,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1040,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1043,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1043,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1045,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1045,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1047,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1047,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1048,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_1048,Falco rusticolus,Aves,Falconidae,Falco,Falco rusticolus
ZMB_Aves_105,"Calandrellabrachydactylabrachydactyla",Aves,Alaudidae,Calandrella,"Calandrellabrachydactyla"
ZMB_Aves_105,"Calandrellabrachydactylabrachydactyla",Aves,Alaudidae,Calandrella,"Calandrellabrachydactyla"
